"AccountEnabled","DeviceId","DeviceOSType","DeviceOSVersion","DisplayName","DeviceTrustType","ApproximateLastLogonTimeStamp"
"True","1d7229a3-28ec-4cb5-9ec8-57e7b61479fe","Android","9.0","CONFCARART_Android_2/28/2022_1:43 PM","Workplace","2/28/2022 13:43:36"
"True","d7d77100-237f-450f-a724-88d4ad457b76","Windows","10.0.15063.0","PHARMAS-I1AJGRH","Workplace","5/29/2018 16:07:51"
"True","29dfbaec-272d-4059-97dc-8868680196c5","Windows","10.0.15063.0","PMSCYUL1PLAP064","Workplace","11/29/2017 16:18:11"
"True","33425b88-f815-4534-b1d4-2a4720e9a8c8","IPhone","12.2","Nancy's iPhone","Workplace","4/12/2019 13:30:39"
"True","d21c395e-117b-4290-8b52-89ea36528881","Windows Server 2016 Datacenter","10.0 (14393)","PHIQAGCTXVDA1","ServerAd","5/18/2019 13:30:23"
"True","c9f67f3c-71ea-454c-90e8-cfd6ed588ed8","Windows","10.0.15063.0","PMSCYUL1PLAP536","Workplace","10/1/2018 09:53:15"
"True","dbc59df8-2e17-43c6-86f3-45d953d6b7dc","IPhone","14.7.1","iPhone",,
"True","50dcb2d5-2b1b-41eb-8f55-7d7a33e03a2c","Windows","10.0.17134.523","PMSCYUL1PLAP628",,
"True","128db5f1-4411-40b1-818e-af9606d346bc","IPhone","14.4.2","iPhone","Workplace","8/17/2021 03:22:30"
"False","fd099dd7-0792-4d9e-9e1c-a5aaa4bc88f5","Windows","10.0.18363.0","DESKTOP-CNGH7I3","Workplace","7/27/2020 20:43:18"
"True","15c9f621-a3c5-40f7-bfb7-fe8f3505c9de","IPhone","13.1.2","Ervin?s iPhone","Workplace","1/15/2020 23:27:47"
"True","6fcfe9b3-d701-4850-9b26-295cf268041f","Windows","10.0.17134.1365","PMSCYUL1PLAP229","ServerAd","7/13/2020 21:44:08"
"True","7ec5aac9-82aa-430d-b677-c1bb62a769ab","iOS","14.3","Khaled&apos;s iPhone S","Workplace","2/27/2022 06:43:23"
"True","70cc3781-2bcf-4b68-9280-4180b676a63a","IPad","11.4.1","Doris Saliba iPad","Workplace","2/7/2019 21:05:48"
"True","662c6f7b-8729-43df-a9b0-f59166be59ed","IPhone","12.4.8","pmsadmin?s iPhone","Workplace","9/24/2020 22:29:37"
"False","783a6fdf-0d08-4b35-8889-1dcc06c33cb0","Windows","10.0.19042.1503","PMSCYUL1PLAP222","ServerAd","2/13/2022 19:16:15"
"True","245aba74-5aa8-4676-b435-0d822518284b","Windows 10 Pro","10.0 (18363)","BA-COMP00","ServerAd","11/20/2020 18:34:31"
"True","27ed46b1-798e-4c3c-8f20-cf6808132f07","IPad","12.4","slachanc?s iPad","Workplace","1/27/2020 14:02:33"
"True","2736ab73-d63c-4494-9995-3f2d9fa43b27","Windows","10.0.15063.0","PHARMAS-TLJO2CV","Workplace","3/2/2018 13:57:30"
"True","31f8f741-d7cd-45e8-b2bb-8ca5065fe1ec","Windows","10.0.19042.1110","PMSCYUL1PLAPB15","ServerAd",
"True","d14da48f-1ca1-4b66-849b-336ba346d1ae","Windows 10 Enterprise","10.0 (15063)","PMSCYUL1PLAP689","ServerAd","5/14/2020 20:53:53"
"True","3cf7e4aa-1a46-4ff2-9f1b-e672da993a8d","Android","8.0.0","samsungSM-G930F","Workplace","9/17/2021 15:08:47"
"True","a2e50775-abb0-4a74-9bc9-d1c4fbb0df12","Android","8.1.0","C_Darnley_Android_2/22/2022_2:11 PM",,
"True","b7b1fb60-b031-4c96-941a-67612eb89bb3","iOS","14.3","iPhone de Melanie","Workplace","9/6/2021 13:36:40"
"True","715f4a99-c29d-447c-a16a-24330dbebe00","Windows","10.0.17134.0","PMSCYUL1PLAP745","Workplace","4/8/2019 13:02:55"
"True","41e2edf7-0a1f-4351-aacb-66868741ceb7","Windows","10.0.15063.0","LR-5CG7112DBX","Workplace","12/4/2017 19:29:20"
"True","89be414e-686c-4dcc-a623-2bced111b2ed","Windows","10.0.17134.112","PMSCYUL1PLAP783",,
"True","cfc00758-682e-4d73-a89f-18511fbb5c65","Android","10","samsungSM-G970W","Workplace","4/3/2021 10:44:41"
"True","22fff35b-188d-476a-b951-c517e5585c85","IPhone","13.6.1","iPhone","Workplace","8/26/2020 05:21:55"
"True","144f2010-dae1-4ca2-8df8-b19c13f2eded","Windows","10.0.19041.630","PMSCYUL1PWKS087","ServerAd","2/11/2021 17:43:49"
"True","2b24674e-e65a-4a3c-bb8f-89e38dee4444","Windows","10.0.17134.112","PMSCYUL1PLAP633",,
"True","a7469657-fa34-4b1f-94d6-cacccb3cbd1d","iOS","14.3","iPhone de Nathalie","Workplace","1/13/2022 15:38:01"
"True","030db8b1-445a-411d-be73-d4a560152fad","Windows","10.0.15063.0","LAPROY-33xn3h2","Workplace","8/15/2017 14:38:46"
"True","70da0eae-bdc3-4f4c-8033-a662ac6e85da","Windows","10.0.15063.0","PHARMAS-57R8288","Workplace","5/18/2018 19:42:29"
"True","d26f67c2-2479-4822-ab15-e9aef1456a74","IPad","12.3.1","iPad","Workplace","10/15/2019 22:28:12"
"True","7172763c-468a-43c8-93ed-5b772ab491e5","Windows","10.0.19044.1466","PMSCYUL3PLAP091",,
"True","528317a6-3d8a-4587-b2c7-3c2281a4b070","Windows","10.0.17134.471","PMSCYUL1PLAP701",,
"True","eedad37d-a2d8-4e66-bc8d-06e76f81ee36","Windows","10.0.17134.648","PMSCYUL1PLAP430",,
"True","f6f4773b-e789-4990-b31e-4a3104e28659","Windows","10.0.19041.1110","PMSCYUL1PWKS000","ServerAd","8/17/2021 09:43:55"
"True","9553ed43-318f-40a9-9682-156501e487c8","Windows","10.0.15063.0","PMSCYUL1PLAP122","Workplace","3/13/2019 06:54:02"
"True","66fcd8cb-1a5c-43b6-a3f8-bcafb8c04c13","Windows","10.0.19042.1526","Teguar-035","ServerAd","2/11/2022 14:36:07"
"True","447436fa-c57f-4f56-9b64-3815c42c35cd","IPhone","12.4.1","Tobias","Workplace","12/1/2019 19:26:35"
"True","b688669f-1dea-49ea-af13-6b94c76e6a36","Windows","10.0.18363.1500","PMSCYUL1TLAP013","ServerAd","6/25/2021 16:25:30"
"True","2d572e21-0aa1-4f14-afa3-70f2d587f278","Windows 10 Enterprise","10.0 (17134)","PMSCYUL1PLAP911","ServerAd","2/5/2019 16:03:01"
"True","625ddc0b-ad6e-43d3-9047-082849fba3b3","Android","10","samsungSM-A515W","Workplace","1/28/2021 15:37:36"
"True","5bd57822-b371-414a-9d87-95485adc7e50","IPad","12.4.5","Isaac's iPad","Workplace","5/17/2021 11:22:15"
"True","84b14f8b-bcbc-4970-aac3-23fc81597f0e","IPhone","13.4.1","Najiba?s iPhone","Workplace","9/4/2020 20:26:45"
"True","ae00ba34-9cda-44f2-a3f3-f0b81abac5fc","Windows","10.0.15063.0","PHARMAS-9S1SRTP","Workplace","10/13/2017 19:51:13"
"True","d6a36629-6923-406d-961b-2922d73e1efa","Windows","10.0.15063.0","PMSCYUL3PLAP018","Workplace","9/26/2018 23:02:39"
"True","0a05a1fb-670c-4ead-8fbd-085dcc86ef49","IPhone","14.2","Charles iphone","Workplace","12/17/2020 21:28:28"
"True","9977005b-ae67-457c-8be2-3519d0f76629","iOS","14.3","iPhone","Workplace","1/29/2021 16:05:13"
"True","1234a129-3992-4b6f-bee0-eb27ca8f8733","Windows","10.0.17134.885","PMSCYUL1PLAP300",,
"True","16250f2a-1b90-4733-b2b2-22571662e33e","iOS","14.4","iPhone de Vincent","Workplace","4/26/2021 15:29:19"
"True","ef875e12-b6af-49ed-ba47-e9e607bd2e55","IPhone","14.0.1","iPhone","Workplace","2/14/2022 17:08:17"
"True","7cd1b81f-5119-4c34-b4f0-9abc47cd9877","Windows","10.0.15063.0","SU-059930262153","Workplace","3/27/2018 01:08:57"
"True","7c01710e-c7f4-4198-943e-e8984452f31f","Windows","10.0.15063.0","LR-5CG7112BZK","Workplace","9/27/2017 18:19:25"
"True","fa96f58b-653c-4df6-99f6-508b45c5c78e","IPad","14.4.2","iPad (4)","Workplace","7/24/2021 12:28:23"
"True","97f62924-3e89-41a7-8570-854ed76c2e17","Windows 10 Enterprise","10.0 (15063)","PMSCYUL1PLAP898","ServerAd","9/19/2018 13:34:16"
"True","f31fd629-9a9f-4bbb-8183-be7c3de92c52","Android","11","samsungSM-N975W","Workplace","12/14/2021 21:21:06"
"True","7ebe2a55-82f2-4840-9d9f-13c7970d852d","Windows 10 Enterprise","10.0.19042.630","PMSCYUL3PWKS043","ServerAd","4/6/2021 15:01:41"
"True","e09bcd80-e2d7-454a-8a45-4d57fbd83064","IPhone","14.2","iPhone","Workplace","2/17/2021 14:34:17"
"True","fb6e3a0b-103c-48a9-91be-2627b914b54d","Windows","10.0.19042.1110","DESKTOP-UNF0CNM",,
"True","bf66ffe7-807c-43e9-afbb-f0c8739f5b2f","Windows","10.0.18363.1854","PMSCYUL1PLAP163",,"10/28/2021 23:00:54"
"True","d051db61-c123-43ca-86f4-11b7705fb76f","Windows","10.0.17134.706","PMSCYUL1PLAP267",,
"True","54625e9d-6856-4303-a54e-9d41f75f469c","Windows","10.0.19041.450","PMSCYUL1PLAPB02","ServerAd","1/25/2022 15:10:16"
"True","38de4b95-2acc-4710-9e80-205be0233958","Windows","10.0.19041.746","PMSCYUL1PLAP338","ServerAd","1/26/2021 20:44:46"
"True","c9a2b1b5-b36c-4959-a4a4-3c3184689f8f","IPad","11.4.1","mlaperri's iPad (2)","Workplace","11/18/2020 10:27:59"
"True","f0d31110-ad5e-4b57-bb33-dc1ffb0c2d17","Windows","10.0.15063.0","PMSCYUL1PLAP866","Workplace","9/22/2018 22:17:24"
